사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2021041300100525,2021년 4월,화요일,서울특별시 광진구 화양동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,화물,남,51-60세,경상
2021041600100071,2021년 4월,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,65세 이상,상해없음,승용,여,31-40세,경상
2021041700100367,2021년 4월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,20세 이하,상해없음,승용,남,13-20세,경상
2021042600100001,2021년 4월,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,원동기,남,21-30세,경상
2021050500100215,2021년 5월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,승용,여,21-30세,경상
2021050600100291,2021년 5월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,51-60세,상해없음,승용,남,31-40세,상해없음
2021051500100539,2021년 5월,토요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,여,21-30세,상해없음,승용,남,51-60세,경상
2021052000100487,2021년 5월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로안,승용,남,61-64세,상해없음,보행자,남,41-50세,중상
2021060400100002,2021년 6월,금요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 충돌,중앙선침범,젖음/습기,흐림,교차로 - 교차로횡단보도내,자전거,남,21-30세,중상,승용,여,41-50세,상해없음
2021060500100360,2021년 6월,토요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,여,21-30세,중상
2021061700100002,2021년 6월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,자전거,여,61-64세,중상,승용,남,41-50세,상해없음
2021062100100001,2021년 6월,월요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,기타불명,기타불명,승용,남,41-50세,부상신고
2021072600100140,2021년 7월,월요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,기타불명,화물,남,31-40세,경상
2021081700100162,2021년 8월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,31-40세,경상,,,,
2021091500100494,2021년 9월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,21-30세,기타불명,보행자,남,65세 이상,경상
2021091600100223,2021년 9월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,승용,남,65세 이상,상해없음,자전거,여,31-40세,중상
2021100500100105,2021년 10월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,65세 이상,상해없음,승용,여,31-40세,경상
2021110300100622,2021년 11월,수요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61-64세,상해없음,개인형이동수단(PM),여,21-30세,중상
2021111000100593,2021년 11월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,21-30세,경상
2021111100100040,2021년 11월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,승용,남,31-40세,경상
2021111600100051,2021년 11월,화요일,서울특별시 광진구 자양동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,21-30세,사망
