사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도,년도,월,특정장소
2020011800100016,2020년 1월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,3,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,승용,남,31-40세,경상,2020년,1월,미상
2020011800100087,2020년 1월,토요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,61-64세,상해없음,,,,,2020년,1월,미상
2020011800100170,2020년 1월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,남,31-40세,경상,2020년,1월,미상
2020011900100186,2020년 1월,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,승용,여,41-50세,경상,2020년,1월,미상
2020011900100315,2020년 1월,일요일,서울특별시 광진구 광장동,경상사고,0,0,2,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,승용,남,21-30세,경상,2020년,1월,미상
2020011900100355,2020년 1월,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,51-60세,경상,2020년,1월,미상
2020012000100032,2020년 1월,월요일,서울특별시 광진구 광장동,중상사고,0,2,4,0,차대차 - 충돌,신호위반,기타,맑음,단일로 - 기타,승합,남,61-64세,상해없음,승합,남,51-60세,경상,2020년,1월,미상
2020012000100248,2020년 1월,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,31-40세,상해없음,2020년,1월,미상
2020012100100151,2020년 1월,화요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,화물,남,51-60세,중상,2020년,1월,미상
2020012200100242,2020년 1월,수요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,31-40세,중상,2020년,1월,미상
2020012200100268,2020년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,3,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,65세 이상,경상,승합,남,21-30세,경상,2020년,1월,미상
2020012200100269,2020년 1월,수요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61-64세,기타불명,승용,남,65세 이상,상해없음,2020년,1월,미상
2020012200100404,2020년 1월,수요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,31-40세,상해없음,이륜,남,21-30세,중상,2020년,1월,미상
2020012200100536,2020년 1월,수요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,31-40세,상해없음,승용,남,41-50세,경상,2020년,1월,미상
2020012300100110,2020년 1월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,과속,건조,맑음,단일로 - 교량,승용,남,21-30세,상해없음,자전거,남,41-50세,중상,2020년,1월,미상
2020012300100135,2020년 1월,목요일,서울특별시 광진구 광장동,부상신고사고,0,0,0,1,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21-30세,부상신고,,,,,2020년,1월,미상
2020012300100327,2020년 1월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,21-30세,경상,2020년,1월,미상
2020012300100606,2020년 1월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,기타,맑음,교차로 - 교차로안,자전거,남,61-64세,경상,승용,남,31-40세,상해없음,2020년,1월,미상
2020012300100723,2020년 1월,목요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61-64세,기타불명,보행자,남,41-50세,부상신고,2020년,1월,미상
2020012400100037,2020년 1월,금요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,이륜,남,31-40세,중상,2020년,1월,미상
2020012400100171,2020년 1월,금요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,보행자,여,61-64세,경상,2020년,1월,미상
2020012400100281,2020년 1월,금요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21-30세,부상신고,승합,남,61-64세,상해없음,2020년,1월,미상
2020012500100058,2020년 1월,토요일,서울특별시 광진구 광장동,경상사고,0,0,3,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,21-30세,경상,승용,남,31-40세,경상,2020년,1월,미상
2020012600100333,2020년 1월,일요일,서울특별시 광진구 화양동,경상사고,0,0,3,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,51-60세,경상,2020년,1월,미상
2020012700100244,2020년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 교량,기타불명,기타불명,기타불명,기타불명,승용,남,65세 이상,상해없음,2020년,1월,미상
2020012700100443,2020년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,남,51-60세,경상,2020년,1월,미상
2020012800100034,2020년 1월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,31-40세,상해없음,보행자,여,13-20세,경상,2020년,1월,미상
2020012800100290,2020년 1월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,기타,맑음,기타 - 기타,승용,남,31-40세,상해없음,보행자,남,21-30세,경상,2020년,1월,미상
2020012800100421,2020년 1월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,여,41-50세,경상,2020년,1월,미상
2020012900100041,2020년 1월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,원동기,남,21-30세,중상,2020년,1월,미상
2020012900100111,2020년 1월,수요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,기타불명,이륜,남,31-40세,경상,2020년,1월,미상
2020012900100112,2020년 1월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,건설기계,남,51-60세,상해없음,승용,남,41-50세,경상,2020년,1월,건대입구
2020012900100219,2020년 1월,수요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세 이상,상해없음,,,,,2020년,1월,미상
2020013000100370,2020년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,21-30세,상해없음,이륜,남,21-30세,경상,2020년,1월,미상
2020013100100022,2020년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 고가도로위,화물,남,51-60세,상해없음,화물,남,41-50세,경상,2020년,1월,미상
2020013100100109,2020년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,화물,남,51-60세,상해없음,2020년,1월,미상
2020013100100193,2020년 1월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,20세 이하,상해없음,승용,남,41-50세,상해없음,2020년,1월,미상
2020013100100511,2020년 1월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,61-64세,상해없음,,,,,2020년,1월,미상
2020020100100045,2020년 2월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차량단독 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,,,,,2020년,2월,미상
2020020100100076,2020년 2월,토요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,기타,맑음,기타 - 기타,화물,남,21-30세,상해없음,보행자,여,65세 이상,중상,2020년,2월,미상
2020020100100136,2020년 2월,토요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,41-50세,경상,2020년,2월,미상
2020020100100330,2020년 2월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,이륜,남,51-60세,경상,2020년,2월,미상
2020020100100331,2020년 2월,토요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,기타불명,기타불명,승용,남,31-40세,부상신고,2020년,2월,건대입구
2020020200100001,2020년 2월,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,21-30세,경상,2020년,2월,미상
2020020300100022,2020년 2월,월요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21-30세,경상,승합,남,51-60세,상해없음,2020년,2월,미상
2020020300100102,2020년 2월,월요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,남,65세 이상,중상,2020년,2월,미상
2020020300100103,2020년 2월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,31-40세,상해없음,2020년,2월,미상
2020020400100031,2020년 2월,화요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,자전거,남,21-30세,경상,2020년,2월,미상
2020020400100640,2020년 2월,화요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,61-64세,상해없음,보행자,여,21-30세,경상,2020년,2월,미상
2020020400100641,2020년 2월,화요일,서울특별시 광진구 구의동,경상사고,0,0,4,0,차대차 - 충돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,41-50세,경상,2020년,2월,미상
2020020500100016,2020년 2월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,승용,여,61-64세,상해없음,승용,남,51-60세,경상,2020년,2월,미상
2020020600100107,2020년 2월,목요일,서울특별시 광진구 구의동,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,여,41-50세,경상,2020년,2월,미상
2020020700100149,2020년 2월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31-40세,상해없음,승용,남,31-40세,경상,2020년,2월,미상
2020020700100150,2020년 2월,금요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,기타,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,보행자,여,21-30세,경상,2020년,2월,미상
2020020800100070,2020년 2월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,개인형이동수단(PM),남,41-50세,상해없음,보행자,남,21-30세,경상,2020년,2월,미상
2020020900100274,2020년 2월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,61-64세,상해없음,승용,남,31-40세,경상,2020년,2월,미상
2020020900100306,2020년 2월,일요일,서울특별시 광진구 자양동,중상사고,0,1,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,경상,승용,남,51-60세,중상,2020년,2월,미상
2020020900100332,2020년 2월,일요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,61-64세,상해없음,,,,,2020년,2월,미상
2020021000100012,2020년 2월,월요일,서울특별시 광진구 능동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,부상신고,,,,,2020년,2월,미상
2020021100100364,2020년 2월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,여,21-30세,경상,2020년,2월,미상
2020021200100350,2020년 2월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,승용,남,61-64세,경상,2020년,2월,미상
2020021300100083,2020년 2월,목요일,서울특별시 광진구 화양동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,보행자,남,31-40세,부상신고,2020년,2월,건대입구
2020021300100502,2020년 2월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,원동기,남,31-40세,경상,2020년,2월,미상
2020021400100185,2020년 2월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,31-40세,경상,2020년,2월,미상
2020021400100618,2020년 2월,금요일,서울특별시 광진구 자양동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,여,41-50세,경상,2020년,2월,미상
2020021500100171,2020년 2월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,기타,맑음,기타 - 기타,승용,남,41-50세,상해없음,승용,남,21-30세,경상,2020년,2월,미상
2020021500100205,2020년 2월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,화물,남,21-30세,경상,2020년,2월,미상
2020021600100047,2020년 2월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,51-60세,상해없음,2020년,2월,미상
2020021600100419,2020년 2월,일요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,이륜,남,21-30세,경상,2020년,2월,건대입구
2020021700100071,2020년 2월,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승합,남,61-64세,상해없음,2020년,2월,미상
2020021700100423,2020년 2월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,서리/결빙,흐림,교차로 - 교차로안,승용,여,41-50세,상해없음,이륜,남,41-50세,경상,2020년,2월,미상
2020021800100078,2020년 2월,화요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,여,21-30세,부상신고,승용,여,41-50세,상해없음,2020년,2월,미상
2020021800100315,2020년 2월,화요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,원동기,남,41-50세,중상,승용,남,61-64세,상해없음,2020년,2월,미상
2020021800100316,2020년 2월,화요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,화물,남,31-40세,중상,2020년,2월,미상
2020021800100643,2020년 2월,화요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,31-40세,상해없음,원동기,남,41-50세,중상,2020년,2월,미상
2020021800100718,2020년 2월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,41-50세,경상,2020년,2월,미상
2020021900100137,2020년 2월,수요일,서울특별시 광진구 광장동,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,여,51-60세,경상,2020년,2월,미상
2020022000100480,2020년 2월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,보행자,남,31-40세,경상,2020년,2월,미상
2020022000100540,2020년 2월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,31-40세,경상,승용,여,41-50세,상해없음,2020년,2월,미상
2020022000100582,2020년 2월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,보행자,여,51-60세,경상,2020년,2월,미상
2020022000100583,2020년 2월,목요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,기타,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,이륜,남,31-40세,중상,2020년,2월,미상
2020022200100107,2020년 2월,토요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,21-30세,경상,2020년,2월,미상
2020022200100291,2020년 2월,토요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,41-50세,상해없음,자전거,남,41-50세,중상,2020년,2월,미상
2020022200100419,2020년 2월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,기타,맑음,단일로 - 기타,승용,남,51-60세,기타불명,승용,남,31-40세,경상,2020년,2월,미상
2020022400100001,2020년 2월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,51-60세,상해없음,승용,여,31-40세,경상,2020년,2월,미상
2020022400100032,2020년 2월,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,원동기,남,65세 이상,중상,2020년,2월,미상
2020022400100368,2020년 2월,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,51-60세,상해없음,보행자,남,41-50세,중상,2020년,2월,건대입구
