id,name,year,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,selling_price
31,Toyota,2013.0,217000.0,South,Alabama,Florence,Diesel,,Manual,Second_Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8.0,N,1.05
32,Maruti,2014.0,25000.0,East,Pennsylvania,Altoona,Petrol,Individual,Manual,First_Owner,18.5,1197.0,85.8,114Nm@ 4000rpm,5.0,Y,0.35
33,0.9581327885435067,2009.0,120000.0,Central,Texas,Austin,Diesel,Individual,Manual,First_Owner,17.0,1405.0,71.0,135 Nm at 2500  rpm ,5.0,N,0.12
34,Hyundai,2014.0,117000.0,West,Washington,Auburn,Diesel,Dealer,Manual,First_Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5.0,N,0.7
35,Hyundai,2014.0,29340.0,Central,Michigan,Southgate,Diesel,Individual,Manual,First_Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5.0,N,0.755
36,Lexus,2019.0,20000.0,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First_Owner,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5.0,Y,5.15
37,Skoda,2018.0,50000.0,West,California,San Diego,Petrol,Dealer,Automatic,First_Owner,14.67,1798.0,177.46,250@ 1250-5000rpm,5.0,Y,1.864999
38,Maruti,2016.0,20000.0,East,Ohio,Troy,Petrol,Individual,Manual,Second_Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5.0,N,0.25
39,Honda,2006.0,100000.0,East,Maine,Gorham,Petrol,Individual,Manual,Second_Owner,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5.0,N,0.22
40,Maruti,2004.0,110000.0,West,California,Carlsbad,Petrol,Individual,Manual,First_Owner,18.9,998.0,67.1,90Nm@ 3500rpm,5.0,N,0.085
41,Maruti,2018.0,44885.0,East,Vermont,Bennington,Diesel,Dealer,Manual,First_Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.751
42,Toyota,2011.0,168000.0,South,Tennessee,Memphis,Diesel,Individual,Manual,Second_Owner,,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),7.0,N,0.75
43,Renault,,110000.0,Central,Missouri,Oakville,Diesel,Individual,Manual,Second_Owner,19.01,1461.0,108.45,248Nm@ 2250rpm,5.0,N,0.5
44,Ford,2015.0,70000.0,East,Ohio,Lorain,Petrol,Individual,Manual,First_Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5.0,Y,0.45
45,Mahindra,2011.0,100000.0,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,13.6,2523.0,,180 Nm at 1440-1500rpm,7.0,Y,0.45
46,Renault,2014.0,80000.0,Central,Indiana,Jeffersonville,Diesel,Individual,Manual,First_Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0,N,0.48
47,Mahindra,2013.0,90000.0,Central,Iowa,Waterloo,Diesel,Individual,Manual,Second_Owner,15.96,2523.0,0.5740025968338347,195Nm@ 1400-2200rpm,7.0,Y,0.4
48,Hyundai,2016.0,80000.0,South,Virginia,Alexandria,Diesel,Individual,Manual,First_Owner,23.9,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,N,0.8
49,Maruti,2017.0,35000.0,West,Colorado,Commerce City,Petrol,Individual,Manual,First_Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,N,0.63
50,Maruti,2019.0,0.8811904956684419,South,Florida,Oakland Park,Petrol,Dealer,Automatic,First_Owner,20.28,1462.0,103.25,138Nm@ 4400rpm,5.0,N,1.025
51,Maruti,2010.0,70000.0,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,Y,0.12
52,Mahindra,2014.0,120000.0,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,14.02,2179.0,,280Nm@ 2400-2800rpm,7.0,Y,0.48
53,Chevrolet,2013.0,,Central,Missouri,Wentzville,Diesel,Individual,Manual,First_Owner,14.6,2231.0,184.0,424Nm@ 2000rpm,7.0,N,0.667
54,Hyundai,2010.0,100000.0,Central,Illinois,Chicago,Petrol,Individual,Manual,Third_Owner,16.2,1599.0,103.2,14.9 KGM at 3000 RPM,5.0,Y,0.32
55,Tata,2016.0,60000.0,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0,Y,0.26
56,Maruti,2005.0,40000.0,East,New Jersey,Willingboro,Petrol,Individual,Manual,Second_Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,Y,0.09
57,Ford,2017.0,60000.0,East,Pennsylvania,,Diesel,Individual,Manual,First_Owner,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5.0,Y,0.85
58,Skoda,2011.0,120000.0,West,California,Anaheim,Petrol,Individual,Manual,Second_Owner,16.25,1198.0,73.9,110Nm@ 3750rpm,5.0,N,0.2
59,Toyota,2011.0,185000.0,East,West Virginia,Fairmont,Diesel,Individual,Manual,Second_Owner,21.43,1364.0,87.2,,5.0,N,0.365
60,Mahindra,2007.0,120000.0,East,New York,Cohoes,Diesel,Individual,,Second_Owner,19.2,1461.0,65.0,"16@ 2,000(kgm@ rpm)",5.0,N,0.15
61,Tata,2016.0,63000.0,West,Oregon,Gresham,Diesel,Dealer,Manual,First_Owner,15.3,2956.0,83.8,250Nm@ 1000-2000rpm,9.0,N,0.445
62,Ford,,40000.0,East,New York,East Meadow,Diesel,Individual,Manual,Second_Owner,20.0,1399.0,68.0,0.8637146807628824,5.0,N,0.229999
63,Chevrolet,2010.0,60000.0,South,Georgia,Kennesaw,Petrol,Individual,Manual,Second_Owner,,1598.0,102.5,148Nm@ 4000rpm,5.0,N,0.225
64,Maruti,2013.0,60000.0,West,Montana,Great Falls,Petrol,Individual,Manual,Fourth_Above_Owner,18.6,1197.0,85.8,114Nm@ 4000rpm,5.0,N,0.32
65,Maruti,2011.0,110000.0,Central,Texas,Beaumont,Diesel,Individual,Manual,Second_Owner,21.1,1248.0,73.9,113Nm@ 4500rpm,5.0,N,0.29
66,Hyundai,2011.0,80000.0,Central,Minnesota,Woodbury,Petrol,Individual,Manual,Second_Owner,20.36,1197.0,78.9,111.8Nm@ 4000rpm,5.0,N,0.225
67,Toyota,2005.0,185000.0,Central,Texas,Lancaster,Diesel,Individual,Manual,Second_Owner,11.4,2494.0,100.6,200Nm@ 1400-3400rpm,7.0,Y,0.3
68,Mahindra,2011.0,100000.0,West,Washington,Lacey,Diesel,Individual,Manual,Second_Owner,15.96,0.8606552280954018,63.0,180Nm@ 1440-1500rpm,9.0,N,0.25
69,Toyota,2007.0,80000.0,West,Washington,Issaquah,Diesel,Individual,Manual,Second_Owner,12.8,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),7.0,Y,0.626
70,Tata,2011.0,80000.0,Central,Michigan,Dearborn,Diesel,Individual,Manual,Second_Owner,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7.0,Y,0.3
71,Maruti,2005.0,60000.0,South,Florida,Riviera Beach,Petrol,Individual,Manual,Fourth_Above_Owner,18.9,998.0,67.1,90Nm@ 3500rpm,5.0,N,0.12
72,Maruti,2013.0,65000.0,Central,Missouri,Jefferson City,Diesel,Dealer,Manual,First_Owner,20.77,0.3814740750560098,88.76,200Nm@ 1750rpm,7.0,N,0.55
73,Mitsubishi,1999.0,198000.0,East,Ohio,Shaker Heights,Diesel,Individual,Manual,Second_Owner,14.8,1998.0,68.0,"12.5@ 3,000(kgm@ rpm)",5.0,N,0.15
74,Maruti,2012.0,96000.0,West,0.4123081999171483,Los Angeles,Diesel,Individual,Manual,Second_Owner,20.77,,88.8,200Nm@ 1750rpm,7.0,Y,0.425
75,Toyota,2016.0,68089.0,South,Georgia,College Park,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0,N,2.0
76,Lexus,2019.0,20000.0,West,Idaho,Lewiston,Petrol,Dealer,Automatic,First_Owner,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5.0,Y,5.15
77,Tata,2010.0,100000.0,Central,Indiana,Indianapolis,Petrol,Individual,Manual,Second_Owner,15.0,1368.0,90.0,116Nm@ 4750rpm,5.0,N,0.169
78,Hyundai,2008.0,120000.0,Central,Texas,Lake Jackson,Diesel,Individual,Manual,Second_Owner,16.8,1493.0,110.0,"24@ 1,900-2,750(kgm@ rpm)",5.0,N,0.12
79,Mercedes,2016.0,31000.0,East,New York,Rye,Diesel,Dealer,Automatic,First_Owner,13.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,N,2.9
80,Maruti,2016.0,32000.0,South,Tennessee,Maryville,Petrol,Dealer,Manual,First_Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,N,0.315
81,Maruti,2010.0,39000.0,West,California,Fresno,Petrol,Individual,Manual,First_Owner,16.9,1061.0,64.9,"8.6@ 3,500(kgm@ rpm)",5.0,N,0.15
82,Toyota,2013.0,35000.0,South,Alabama,Gadsden,Diesel,Individual,Manual,First_Owner,12.99,2494.0,100.6,200Nm@ 1400-3400rpm,7.0,N,0.4
83,Datsun,2014.0,35000.0,East,Maryland,Ellicott City,Petrol,Individual,Manual,First_Owner,20.63,1198.0,67.0,104Nm@ 4000rpm,5.0,N,0.225
84,Renault,2015.0,80000.0,Central,Missouri,Bridgeton,Diesel,Individual,Manual,First_Owner,21.04,1461.0,83.8,200Nm@ 1900rpm,8.0,N,0.69
85,Honda,2006.0,80000.0,Central,Illinois,Decatur,Petrol,Individual,Manual,Third_Owner,13.5,1799.0,,172Nm@ 4300rpm,5.0,N,0.15
86,BMW,2019.0,8500.0,South,North Carolina,Hickory,Diesel,Dealer,Automatic,First_Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,N,5.5
87,Volkswagen,2016.0,66000.0,West,Washington,Seatac,Diesel,Dealer,Manual,First_Owner,20.14,1498.0,88.8,230Nm@ 1500-2500rpm,5.0,N,0.54
88,Honda,2019.0,7032.0,West,New Mexico,Santa Fe,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.0,1199.0,88.76,110Nm@ 4800rpm,5.0,Y,0.779
89,Maruti,2018.0,35000.0,Central,Texas,Conroe,Diesel,Individual,Manual,First_Owner,27.39,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.75
90,Chevrolet,2012.0,70000.0,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,25.44,936.0,57.6,150Nm@ 1750rpm,5.0,Y,0.22
91,Maruti,2015.0,90000.0,West,Idaho,Caldwell,Diesel,Individual,Manual,First_Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0,N,0.549
92,Hyundai,2018.0,70000.0,East,Ohio,Findlay,Diesel,Individual,Manual,First_Owner,22.0,1582.0,126.2,259.87nm@ 1500-3000rpm,5.0,N,0.95
93,Jaguar,2017.0,9000.0,East,Ohio,Warren,Diesel,0.1274446178611951,Automatic,First_Owner,13.6,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,N,2.711
94,Maruti,2008.0,66530.0,Central,Illinois,Galesburg,Petrol,Individual,Manual,Second_Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0,N,0.1
95,Maruti,2013.0,70000.0,East,Ohio,Berea,Diesel,Individual,Manual,Second_Owner,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.356
96,Tata,2013.0,30000.0,East,Ohio,Willoughby,Petrol,Individual,Manual,First_Owner,25.4,624.0,37.48,51Nm@ 4000+/-500rpm,4.0,N,0.095
97,BMW,2019.0,7500.0,East,New Hampshire,Manchester,Diesel,Dealer,Automatic,First_Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,N,5.4
98,Maruti,2012.0,76000.0,East,,Massillon,Petrol,Individual,Manual,First_Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,N,0.15
99,Hyundai,2011.0,80000.0,Central,Oklahoma,Muskogee,Petrol,Individual,Manual,Second_Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0,Y,0.225
100,Hyundai,2016.0,100000.0,Central,Illinois,Lansing,Diesel,Individual,Manual,First_Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0,N,0.7
101,Maruti,2004.0,120000.0,East,Vermont,Essex Junction,Petrol,Individual,Manual,0.5823242154877865,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,N,0.04
102,Ford,2015.0,110000.0,West,California,Oakland,Diesel,Individual,Manual,,25.83,1498.0,99.0,215Nm@ 1750-3000rpm,5.0,N,0.35
103,,2012.0,64000.0,West,Washington,Seattle,Diesel,Individual,Manual,Second_Owner,17.8,1399.0,67.0,160Nm@ 2000rpm,5.0,Y,0.3
104,Hyundai,2016.0,56000.0,East,Ohio,Strongsville,Diesel,Individual,Manual,First_Owner,,1120.0,70.0,160Nm@ 1500-2750rpm,5.0,N,0.48
105,Tata,2013.0,120000.0,East,Ohio,Hilliard,Diesel,Individual,Manual,First_Owner,,1248.0,74.0,190Nm@ 1750-3000rpm,5.0,Y,0.12
106,Hyundai,2014.0,56000.0,Central,Minnesota,Prior Lake,Diesel,Individual,Manual,First_Owner,22.32,1582.0,126.3,259.9Nm@ 1900-2750rpm,5.0,N,0.58
107,Tata,2018.0,142000.0,East,New York,,Diesel,Individual,Manual,First_Owner,14.1,2179.0,147.94,320Nm@ 1500-3000rpm,5.0,N,0.875
108,Datsun,2017.0,35000.0,West,Oregon,Klamath Falls,Petrol,Individual,Manual,First_Owner,22.5,999.0,67.0,91Nm@ 4250rpm,5.0,N,0.24
109,Volkswagen,2017.0,18816.0,South,Arkansas,Bryant,Petrol,Dealer,Manual,First_Owner,17.0,1198.0,73.75,110Nm@ 3750rpm,5.0,N,0.65
110,Maruti,2016.0,63000.0,West,Oregon,Albany,Diesel,Dealer,Manual,First_Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,Y,0.839
111,Toyota,2016.0,68089.0,Central,Kansas,Derby,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0,N,2.0
112,Renault,2017.0,65000.0,South,Alabama,Huntsville,Diesel,Individual,Manual,Second_Owner,21.04,1461.0,83.8,,7.0,N,0.695
113,Hyundai,2007.0,150000.0,West,Arizona,Glendale,Diesel,Individual,Manual,Second_Owner,0.4386328380068744,1493.0,110.0,"24@ 1,900-2,750(kgm@ rpm)",5.0,N,0.18
114,Force,2018.0,20000.0,West,Idaho,Eagle,Diesel,Dealer,Manual,First_Owner,17.0,2596.0,80.8,230Nm@ 1800-2000rpm,5.0,N,0.91
115,Honda,2016.0,56494.0,Central,Indiana,Granger,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199.0,88.7,110Nm@ 4800rpm,5.0,N,0.55
116,Mahindra,2006.0,80000.0,South,Tennessee,Collierville,Diesel,0.8193240183637751,Manual,Second_Owner,10.5,2179.0,120.0,290Nm@ 1800-2800rpm,7.0,Y,0.229999
117,Maruti,2015.0,115000.0,Central,Illinois,Tinley Park,Diesel,Individual,Manual,Second_Owner,,1248.0,74.0,190Nm@ 2000rpm,5.0,Y,0.42
118,Maruti,,40000.0,East,Ohio,Mount Vernon,Petrol,Individual,Manual,First_Owner,20.51,998.0,0.6983438318942918,90Nm@ 3500rpm,5.0,N,0.475
119,Tata,2017.0,70000.0,East,New York,Deer Park,Diesel,Individual,Manual,First_Owner,21.5,1497.0,108.5,260Nm@ 1500-2750rpm,5.0,Y,0.869999
120,Maruti,1998.0,100000.0,West,Utah,Midvale,Petrol,Individual,Manual,Second_Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,N,0.07
121,Hyundai,2019.0,16000.0,East,New York,Troy,Petrol,,Automatic,First_Owner,17.4,1197.0,81.86,117nm@ 4000rpm,5.0,Y,0.72
122,Skoda,2010.0,116000.0,Central,Illinois,Saint Charles,Diesel,Individual,Manual,First_Owner,18.7,1896.0,66.0,210 / 1900,5.0,N,0.355
123,Maruti,2016.0,100000.0,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third_Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,7.0,Y,0.27
124,Maruti,2017.0,60000.0,Central,Michigan,Jackson,Diesel,Individual,Manual,First_Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,N,0.725
125,Maruti,2017.0,70000.0,East,Maine,Bangor,Diesel,Individual,Manual,First_Owner,27.39,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.735
126,Mahindra,2012.0,110000.0,Central,Illinois,Quincy,Diesel,Individual,Manual,First_Owner,21.03,1461.0,65.0,160Nm@ 2000rpm,5.0,N,0.26
127,Honda,2019.0,24857.0,Central,Illinois,Lake In The Hills,Petrol,Dealer,Automatic,Test_Drive_Car,16.5,1799.0,139.46,174Nm@ 4300rpm,5.0,N,2.0
128,Nissan,2014.0,150000.0,East,Maine,Saco,Diesel,Individual,Manual,First_Owner,19.01,1461.0,108.5,248Nm@ 2250rpm,5.0,N,0.54
129,Maruti,2013.0,120000.0,Central,Iowa,Marshalltown,Diesel,Individual,Manual,First_Owner,22.9,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.39
130,Hyundai,2014.0,42312.0,0.6266960319354083,New York,Mount Vernon,Diesel,Dealer,Manual,First_Owner,24.4,1120.0,71.0,180.4Nm@ 1750-2500rpm,5.0,N,0.455
131,Maruti,2017.0,35000.0,West,,Des Moines,Diesel,Individual,Manual,First_Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.675
132,Tata,2012.0,146000.0,West,Idaho,Post Falls,Diesel,Individual,Manual,First_Owner,19.61,1405.0,70.0,135.4Nm@ 2500,5.0,N,0.135
133,Tata,2011.0,50000.0,West,Washington,Lacey,Diesel,Individual,Manual,First_Owner,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5.0,N,0.275
134,Hyundai,2016.0,100000.0,West,0.630349400026639,Billings,Diesel,Individual,Manual,First_Owner,,1396.0,88.7,219.7Nm@ 1500-2750rpm,5.0,N,0.725
135,Maruti,2011.0,85000.0,Central,Texas,Houston,Diesel,Individual,Manual,Second_Owner,21.5,1248.0,88.8,200Nm@ 1750rpm,5.0,Y,0.25
136,Tata,2008.0,120000.0,South,Florida,Port Charlotte,Diesel,Individual,0.49604010065673476,Third_Owner,17.5,1396.0,70.0,"14.3@ 1,800-3,000(kgm@ rpm)",5.0,N,0.05
137,Volkswagen,2012.0,60300.0,Central,Illinois,Streamwood,Diesel,Individual,Manual,First_Owner,22.07,1199.0,73.9,180Nm@ 2000rpm,5.0,N,0.3
138,,2012.0,90000.0,Central,Texas,Coppell,Diesel,Individual,Manual,Second_Owner,22.9,1248.0,74.0,190Nm@ 2000rpm,5.0,N,0.416
139,Ford,2018.0,80000.0,West,California,0.08769208413028062,Diesel,Individual,Manual,First_Owner,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5.0,N,0.95
140,Ford,2012.0,156040.0,East,Connecticut,Farmington,Diesel,Dealer,Manual,First_Owner,20.0,1399.0,68.0,160Nm@ 2000rpm,5.0,N,0.25
141,Hyundai,2012.0,56000.0,South,Georgia,Columbus,Petrol,Individual,Manual,First_Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0,Y,0.27
142,Hyundai,2017.0,56290.0,Central,Texas,Duncanville,Diesel,Dealer,Manual,First_Owner,24.0,1186.0,73.97,190.24nm@ 1750-2250rpm,0.9969635870455996,N,0.45
143,Maruti,2012.0,70000.0,,New York,Syracuse,Petrol,Individual,Manual,Second_Owner,20.92,998.0,67.1,90Nm@ 3500rpm,5.0,N,0.2
144,Maruti,2017.0,52000.0,West,California,Moreno Valley,Petrol,Individual,Manual,First_Owner,21.63,998.0,0.7847153379619985,90Nm@ 3500rpm,5.0,N,0.4
145,Maruti,2015.0,60000.0,Central,Indiana,Frankfort,Diesel,Individual,Manual,Third_Owner,26.21,1248.0,88.5,200Nm@ 1750rpm,5.0,N,0.6
146,Maruti,2015.0,93000.0,0.8091855663892431,Utah,Holladay,Petrol,Individual,Manual,Second_Owner,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0,N,0.54
147,Toyota,2016.0,90000.0,South,Tennessee,Murfreesboro,Diesel,Individual,Manual,First_Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8.0,N,1.2
148,Maruti,2013.0,26000.0,Central,,Sun Prairie,Petrol,Individual,Manual,First_Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,5.0,Y,0.26
149,Hyundai,2018.0,35000.0,West,Oregon,West Linn,Diesel,Individual,Manual,First_Owner,24.0,1186.0,73.97,190.24nm@ 1750-2250rpm,5.0,N,0.7
150,Tata,2008.0,120000.0,West,Washington,Anacortes,Diesel,Individual,Manual,First_Owner,12.2,1948.0,0.9624718298568186,"115@ 2,500(kgm@ rpm)",9.0,N,0.15
151,Hyundai,2016.0,58000.0,Central,Oklahoma,Bartlesville,Diesel,Individual,Manual,First_Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,Y,0.85
152,Honda,2013.0,50000.0,East,Maryland,,Diesel,Individual,Manual,First_Owner,25.8,1498.0,98.6,200Nm@ 1750rpm,5.0,N,0.484999
153,Lexus,2019.0,20000.0,West,Idaho,Nampa,Petrol,Dealer,Automatic,First_Owner,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5.0,N,5.15
154,Maruti,2007.0,120000.0,Central,Illinois,Addison,Petrol,Individual,Manual,Second_Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,N,0.11
155,Jaguar,2017.0,9000.0,East,Pennsylvania,Bethlehem,Diesel,Dealer,Automatic,First_Owner,13.6,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,N,2.711
156,Hyundai,2012.0,120000.0,East,Connecticut,Colchester,Petrol,Individual,Manual,First_Owner,18.5,0.077721233326169,82.85,113.7Nm@ 4000rpm,5.0,N,0.3
157,Chevrolet,2015.0,50000.0,Central,Michigan,Holland,Petrol,Individual,Manual,First_Owner,18.2,1199.0,82.4,108.5Nm@ 5000rpm,0.5713603627373761,N,0.35
